"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","PRECISION","DECIMALS_DISPLAYED","DERIVATION_TYPE","OVERLAP","IFS_FLAG","STATUS","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE"
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2015-Q4","891700","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q1","898749","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q2","917142","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q3","933743","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2016-Q4","987865","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q1","979578","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q2","996383","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q3","1027085","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2017-Q4","1059756","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q1","1071086","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q2","1101349","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q3","1106156","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2018-Q4","1109803","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q1","1122396","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q2","1149707","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q3","1163641","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2019-Q4","1182391","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q1","1204101","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q2","1231318","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q3","1279885","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2020-Q4","1348719","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q1","1356623","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q2","1394274","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q3","1412565","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2021-Q4","1480122","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q1","1456926","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q2","1465174","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q3","1461205","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2022-Q4","1457596","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q1","1368662","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q2","1336385","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q3","1339087","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2023-Q4","1343769","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q1","1312870","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q2","1346253","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q3","1316877","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2024-Q4","1363633","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Italy","Liabilities, Transferable Deposits, Included In Broad Money","Euro","Quarterly","2025-Q1","1342649","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"","","Seasonally adjusted (SA), Euro","","","","","","","","","","","","","",""
"","","Percent change, corresponding period, previous year","","","","","","","","","","","","","",""
"","","Seasonally adjusted (SA), US dollar","","","","","","","","","","","","","",""
"","","Ratio of monetary base to broad money, percent per annum, Percent","","","","","","","","","","","","","",""
"","","Seasonally adjusted factors, Index","","","","","","","","","","","","","",""
"","","Seasonally adjusted (SA), Domestic currency","","","","","","","","","","","","","",""
