"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","PRECISION","DECIMALS_DISPLAYED","DERIVATION_TYPE","OVERLAP","IFS_FLAG","STATUS","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE"
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q2","315657.48778757","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q3","327304.57562458","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q4","343902.57752731","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q1","343410.27815457","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q2","392223.71849145","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q3","429988.89123318","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2018-Q4","398390.19441008","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q1","482963.28186376","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q2","515110.01361829","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q3","549381.34465621","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2019-Q4","617942.3400535","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
