url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,country
https://www.dailysabah.com/finance/2018/05/22/sp-urges-quick-action-on-turkish-liras-decline,https://www.dailysabah.com/finance/2018/05/22/sp-urges-quick-action-on-turkish-liras-decline/amp,S & P urges quick action on Turkish lira decline,20180522T174500Z,https://idsb.tmgrup.com.tr/2018/05/22/sp-urges-for-quick-action-on-turkish-liras-decline-1526999352134.jpg,dailysabah.com,English,Turkey,Turkey
http://countingpips.com/2018/05/selling-pressure-in-emerging-market-currencies-accelerates-following-latest-lira-decline/,http://countingpips.com/2018/05/selling-pressure-in-emerging-market-currencies-accelerates-following-latest-lira-decline/amp/,Selling pressure in emerging market currencies accelerates following latest Lira decline,20180515T160000Z,,countingpips.com,English,United States,Turkey
http://www.france24.com/en/20180516-turkey-lira-hits-new-historic-lows-after-erdogan-comments,http://m.france24.com/en/20180516-turkey-lira-hits-new-historic-lows-after-erdogan-comments,Flash - Turkey lira hits new historic lows after Erdogan comments - France 24,20180516T101500Z,http://scd.france24.com/en/files/imagecache/home_1024/images/afp/0f1e17d9141eb7fd8f4d385471e8e1058c5310a4_0.jpg,france24.com,English,France,Turkey
http://www.naharnet.com/stories/en/246238-turkey-lira-hits-new-historic-lows-after-erdogan-comments,,Turkey Lira Hits New Historic Lows after Erdogan Comments Naharnet,20180516T121500Z,http://images0.naharnet.com/images/211629/w140.jpg,naharnet.com,English,Syria,Turkey
http://guardian.ng/news/turkey-lira-hits-new-historic-lows-after-erdogan-comments/,http://guardian.ng/news/turkey-lira-hits-new-historic-lows-after-erdogan-comments/amp,Turkey lira hits new historic lows after Erdogan comments World The Guardian Nigeria Newspaper – Nigeria and World News,20180516T124500Z,https://guardian.ng/wp-content/uploads/2018/05/Recep-Tayyip-Erdogan-1-640x360.jpg,guardian.ng,English,Nigeria,Turkey
https://guardian.ng/news/turkey-lira-hits-new-historic-lows-after-erdogan-comments/,https://guardian.ng/news/turkey-lira-hits-new-historic-lows-after-erdogan-comments/amp,Turkey lira hits new historic lows after Erdogan comments World The Guardian Nigeria Newspaper – Nigeria and World News,20180516T111500Z,https://guardian.ng/wp-content/uploads/2018/05/Recep-Tayyip-Erdogan-1-640x360.jpg,guardian.ng,English,Nigeria,Turkey
https://www.dailysabah.com/economy/2018/05/31/pressure-on-turkish-lira-recedes-as-investors-persuaded-by-sound-monetary-fiscal-policies,https://www.dailysabah.com/economy/2018/05/31/pressure-on-turkish-lira-recedes-as-investors-persuaded-by-sound-monetary-fiscal-policies/amp,"Pressure on Turkish lira recedes as investors persuaded by sound monetary , fiscal policies",20180530T214500Z,https://idsb.tmgrup.com.tr/2018/05/30/turkish-lira-rallies-after-strong-messages-from-london-meetings-1527709010775.jpg,dailysabah.com,English,Turkey,Turkey
https://www.businessinsider.in/the-turkish-lira-is-rallying-after-its-central-bank-hiked-rates-to-17-75/articleshow/64495756.cms,https://www.businessinsider.in/the-turkish-lira-is-rallying-after-its-central-bank-hiked-rates-to-17-75/amp_articleshow/64495756.cms,The Turkish lira is rallying after its central bank hiked rates to 17 . 75 % ,20180607T151500Z,https://www.businessinsider.in/photo/64495756/the-turkish-lira-is-rallying-after-its-central-bank-hiked-rates-to-17-75.jpg?85407,businessinsider.in,English,India,Turkey
http://yalibnan.com/2018/05/24/turkey-halts-liras-free-fall-has-fallen-20-so-far-this-year-against-the-dollar/,,Turkey halts lira s free fall . Has fallen 20 % so far this year against the dollar,20180524T124500Z,,yalibnan.com,English,Syria,Turkey
https://ahvalnews.com/turkish-lira/investors-may-throw-towel-turkey-strategist,,Investors may throw in the towel on Turkey - strategist,20180519T134500Z,https://ahvalnews.com/sites/default/files/styles/file_watermark_5415.jpeg,ahvalnews.com,English,Turkey,Turkey
